Help!,बचाओ!
He tore the book apart.,उसने किताब को फाड़ डाला।
He understands physics.,वह भौतिक विज्ञान समझता है।
He will soon come back.,वह बस अभी आता होगा।
He will soon come back.,वह बस आता ही होगा।
He will soon come back.,वह थोड़ी देर में वापस आ रहा है।
Her father is Japanese.,उसके पिता जापानी हैं।
I asked him to do that.,मैंने उससे वह करने को कहा था।
I don't agree with you.,मैं तुमसे सहमत नहीं हूँ।
I found the cage empty.,मुझे पिंजरा खाली मिला।
I go to school on foot.,मैं स्कूल चल कर जाती हूँ।
I prefer coffee to tea.,मुझे चाय से ज़्यादा कॉफ़ी पसंद है।
I seem to have a fever.,मुझे बुखार जैसा लगता है।
I still don't know yet.,मुझे अभी भी नहीं पता।
I want to do it myself.,मैं अपने-आप करना चाहता हूँ।
I will be back by nine.,मैं नौ बजे से पहले वापस आ जाऊँगा।
I wonder what happened.,पता नहीं क्या हुआ।
I'd like a Bloody Mary.,मुझे एक ब्लडी मेरी चाहिए।
I'll make a phone call.,मैं फ़ोन करता हूँ।
Is anyone absent today?,क्या आज कोई अनुपस्थित है?
Is anyone absent today?,आज कोई है जो नहीं आया है?
It is difficult for me.,वह मेरे लिए मुश्किल है।
It's rather cold today.,आज मौसम काफ़ी ठंडा है।
Mind your own business!,अपने काम से काम रखो!
My father is very nice.,मेरे पिता बहुत अच्छे हैं।
My father is very nice.,मेरे पापा बहुत अच्छे हैं।
My stomach is growling.,मेरा पेट गुड़गुड़ा रहा है।
New York is a big city.,न्यू यॉर्क बड़ा शहर है।
School is over at 3:30.,स्कूल साढ़े तीन बजे छूटता है।
She always wears black.,वह हमेशा काले कपड़े पहनती है।
She can play the piano.,वह पियानो बजाना जानती है।
